nom,date,cumulative_confirmed_cases,cumulative_suspected_cases,cumulative_suspected_deaths,new_confirmed_cases,new_suspected_cases,min_minutes_to_active_zone,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__outflow_20260524,pop_count,pop_density,rt_proxy,rt_proxy_is_imputed,new_suspected_cases_rate,new_confirmed_cases_rate,cumulative_suspected_cases_rate,cumulative_confirmed_cases_rate,prediction,anomaly_score,split
Bunia,2026-05-18,6.0,61.0,18.0,6.0,53.0,41.63,0.0,0.08423,0.0,509059.964558102,4336.1457340514,1.0,True,10.411347128035796,1.1786430710983922,11.982871222833653,1.1786430710983922,1,0.15511026805474293,train
Mongbwalu,2026-05-18,1.0,302.0,74.0,1.0,56.0,99.224,0.0,0.03859,0.0,157714.270248931,49.26880991961,1.0,True,35.50724985862817,0.6340580331897888,191.4855260233162,0.6340580331897888,-1,-0.0002184206726703053,train
Nyankunde,2026-05-18,4.0,14.0,1.0,4.0,14.0,33.084,0.0,0.00953,6.8,94004.2441913015,100.872453475923,1.0,True,14.892944590362932,4.2551270258179805,14.892944590362932,4.2551270258179805,1,0.14006014426252733,train
Rwampara,2026-05-18,19.0,136.0,38.0,6.0,64.0,33.084,0.0,0.07158,0.0,252324.469993129,378.392262151519,1.0,True,25.3641670194503,2.377890658073466,53.89885491633189,7.529987083899309,1,0.12362979393083995,train
Bunia,2026-05-19,6.0,90.0,23.0,0.0,29.0,41.63,0.0,0.08423,0.0,509059.964558102,4336.1457340514,1.0,True,5.6967748436422285,0.0,17.679646066475883,1.1786430710983922,1,0.1357902290838484,train
Mongbwalu,2026-05-19,13.0,309.0,77.0,12.0,7.0,99.224,0.0,0.03859,0.0,157714.270248931,49.26880991961,1.0,True,4.438406232328521,7.608696398277465,195.92393225564476,8.242754431467253,1,0.0003578377273880662,train
Nyankunde,2026-05-19,4.0,19.0,5.0,0.0,5.0,33.084,0.0,0.00953,6.8,94004.2441913015,100.872453475923,1.0,True,5.3189087822724765,0.0,20.21185337263541,4.2551270258179805,1,0.15038723787286035,train
Rwampara,2026-05-19,25.0,154.0,43.0,4.0,18.0,33.084,0.0,0.07158,0.0,252324.469993129,378.392262151519,1.0,True,7.133671974220398,1.5852604387156437,61.0325268905523,9.907877741972774,1,0.17092664932130752,train
Bunia,2026-05-20,11.0,125.0,31.0,5.0,35.0,41.318,0.0,0.08423,0.0,509059.964558102,4336.1457340514,1.0,True,6.875417914740621,0.9822025592486601,24.555063981216502,2.160845630347052,1,0.16367085877715004,train
Butembo,2026-05-20,1.0,7.0,0.0,0.0,6.0,9.252,0.03058,0.0,0.84,289377.881656445,3648.62216219997,1.0,True,2.0734134777872613,0.0,2.4189823907518044,0.3455689129645435,1,0.12285107136859663,train
